Key,Subject,Description
KEYCLOAK-19540,FAPI 2.0 Baseline : Reject Resource Owner Password Credentials Grant,"[The draft version of FAPI 2.0 Baseline|https://bitbucket.org/openid/fapi/src/master/FAPI_2_0_Baseline_Profile.md] says that an authorization server shall reject resource owner password credentials grant.

To satisfy FAPI 2.0 Baseline, keycloak needs to reject reject resource owner password credentials grant.

An executor execute the following logics :
* Enforce client setting on client registration/update
* Reject a request regardless of client setting"
,,
KEYCLOAK-19536,Removal of client creates new instance of provider for each client role,"Some operations publishes {{RoleRemovedEvent}}. Some listeners registered to this event creates new instance of provider for each role. 

During creation of new Map*Provider new transaction is created and enlisted. "
,,
KEYCLOAK-19532,Finnish locales,I would like to add finnish translations.
,,
KEYCLOAK-19525,Inconsistent creation of default-roles-<realm>,"While RealmManager.java creates `default-roles-<realmName>`, during the migration (in JpaUpdate13_0_0_MigrateDefaultRoles.java) is created role `default-roles-<realmId>`.

Originally reported by [~victorphilipp]: https://issues.redhat.com/browse/KEYCLOAK-19263?focusedCommentId=19049944&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-19049944"
,,
KEYCLOAK-19522,Update Czech translation of login messages,
,,
KEYCLOAK-19521,HTML Resource Path gets not set right after reaugmenting Keycloak.X,"After reaugmentation, the resource Tag does not get applied anymore to the resourcepath of the delivered html. so, instead of `.../resources/abcde/...` the actual version (resources/16.../) is used instead of the random 5 chars which should be created and used by the QuarkusWelcomePage. "
,,
KEYCLOAK-19510,"Nested JWT's JOSE header needs to set ""JWT"" to ""cty"" field","According to [RFC 7519 JWT section 5.2|https://datatracker.ietf.org/doc/html/rfc7519#section-5.2], a nested JWT (signed and encrypted JWT) needs to set ""JWT"" to its JOSE Header's ""cty"" field. The current keycloak does not follow it.

The current keycloak generates a signed and encrypted JWT for the following tokens :

* ID Token
* JARM authorization response

Keycloak need to follow it if these are signed and encrypted.

The current keycloak receives a signed and encrypted JWT for the following tokens :

* Request Object (created by a client)

Keycloak needs not to check ""cty"" field because some of the existing client may send this nested JWT Request Object without ""cty"" field and keycloak accepts it. If keycloak checked it, such these client's nested JWT Request Object would not be accepted.  
"
,,
KEYCLOAK-19505,Create delegates automatically from an interface,
,,
KEYCLOAK-19503,Keycloak Operator fails to create secret when client id contains special chars,"When using the Keycloak operator to register SAML Client we face some limitation.

In SAML entityID are supposed to be URL, this value is conveyed via the ClientID field of the KeycloakClient CR when protocol is set to SAML.

However with such clientID value when the operator processes it and tries to create the kubernetes secret for a client secret it fails as ':' and '/'' are invalid chars for kubernetes secret names.

 

First client secret does not exist for SAML client so creation of the kubernetes secret could be skipped, second secret name could be sanitized to avoid such failure."
,,
KEYCLOAK-19496,Unignore ArtifactBindingCustomResolverTest + fix @SetDefaultProvider annotation in testsuite for Keycloak.X,"There seems to be something wrong with the @SetDefaultProvider annotation for quarkus. Investigate and fix it, to make the ArtifactBindingCustomResolverTests testCustomArtifact-Test work, which relies on a custom provider(CustomTestingSamlArtifactResolverFactory)  to be used."
,,
KEYCLOAK-19492,Include WebAuthn tests to pipeline,
,,
KEYCLOAK-19491,Merge error in SAML Identity Broker documentation ,"Commit c2fdee2d2d07e4255a8fedf4fac7ec783a9794ef introduced a small typo in file server_admin/topics/identity-broker/saml.adoc that breaks formatting for the table that describes the SAML parameters.

PR is ready for review."
,,
KEYCLOAK-19490,Add more details about 2FA to authenticate page,"It'd be great to add more details about 2FA to WebAuthn authenticate page. User is not aware about the provided authenticator, where the name of the authenticator is unknown and its properties as well. At least add the name of the authenticator to the page would be sufficient. It'd improve UX a lot."
,,
KEYCLOAK-19489,Verify WebAuthn settings in admin console,
,,
KEYCLOAK-19487,Test cases for managing 2FA authenticators in account console,"There should be included test cases for account console and managing the 2FA itself. It should be possible to ensure the WebAuthn authenticators are properly created, modified and deleted."
,,
KEYCLOAK-19486,Verify the WebAuthn functionality and settings for registration,"It's necessary to verify proper creation of WebAuthn credentials and its parameters. Specifically to be sure those parameters are properly parsed and used within the registration itself. f.e. testCase for missing authenticator attachment, not specified requirement for resident key etc."
,,
KEYCLOAK-19484,Unignore BasicSamlTests testNoPortInDestination,"-Dtest=BasicSamlTest#testNoPortInDestination 
is failing due to missing config for the saml ports. Re-enable by adding the appropriate config value to the kc.x config of auth-server-quarkus and the arquillian container."
,,
KEYCLOAK-19482,Create cloners automatically from an interface,Introduce utility methods for each entity that deep clones one entity from another of the same type (eg. clones a MapClientEntity to another MapClientEntity). This is needed to e.g. clone values from JPA to Infinispan entity for the sake of caching. These utility methods should be created and maintained automatically
,,
KEYCLOAK-19481,Introduce default constructors for entities,Some entities require ID and some other parameter in their constructor. This will be replaced by making the fields mutable (by introducing {{setId()}} and other setters).
,,
KEYCLOAK-19480,Introduce ProtocolMapperEntity,ProtocolMapperModel is used in MapClientEntity rather than ProtocolMapperEntity. This spoils the whole point of the entities and needs to be fixed.
,,
KEYCLOAK-19476,Unignore LoginTest#loginWithLongRedirectUri for Keycloak.X,"See KEYCLOAK-12473 - we have to set the config value for quarkus to truncate the stored representation in the db to a given max-detail-length of e.g. 2000 characters. (db representation is limited at 2550 fields, in the test we are creating a random string of 2500 characters, plus 75 characters of the rest of the url, plus other details => fails)"
,,
KEYCLOAK-19469,Delete old demo from examples,The old demo from examples is no longer maintained and has been replaced by QuickStarts so should be deleted.
,,
KEYCLOAK-19467,Missing noopener/noreferrer in links,
,,
KEYCLOAK-19463,Unignore PasswordPolicyTest,"-Dtest=PassworPolicyTest#testBlacklistPasswordPolicyWithTestBlacklist

 is failing because the .txt file is not included and the path is not set for the auth server.

-> Add txt file to target of authserverquarkus and "
,,
KEYCLOAK-19461,Re-Enable OpenShift-related tests in testsuite,"-Dtest=OpenshiftClientStorageTest

-Dtest=OpenShiftTokenReviewEndpointTest

are failing when enabled for quarkus right now. We need to investigate why they fail and fix the tests."
,,
KEYCLOAK-19459,Re-Enable ClientSearchTest,"_ClientSearchTest_ is excluded from the testsuite right now. In order to re-enable it, we need support for comma-separated values from the CLI, which will be done in KEYCLOAK-19425. "
,,
KEYCLOAK-19457,Fix migration tests in CI.,"The following migration tests are currently ignored in the testsuite for quarkus:
|-Dtest=JsonFileImport1301MigrationClientPoliciesTest|
|-Dtest=JsonFileImport198MigrationTest|
|-Dtest=JsonFileImport255MigrationTest|
|-Dtest=JsonFileImport343MigrationTest|
|-Dtest=JsonFileImport483MigrationTest|

In Isolation, they run, in the testsuite they don't under some circumstances.

to create a failing example locally, remove the quarkus exclusion from e.g.  JsonFileImport198MigrationTest and run the following mvn command:

mvn clean install -nsu -B -Pauth-server-quarkus -Dtest='AccountRestServiceWithUserProfileTest#testGetUserProfileMetadata_EditUsernameAllowed,JsonFileImport198MigrationTest' -f testsuite/integration-arquillian/tests/base/pom.xml"
,,
KEYCLOAK-19446,Remove theme dir from default configuration,"We do not need the {{spi.theme.folder.dir}} set in the configuration. By removing it, we avoid confusion (KEYCLOAK-13770) and make configuration easier.

For that, we should implement a custom {{org.keycloak.theme.FolderThemeProviderFactory}} so that we default to the expected directory within the distribution if none was set."
,,
KEYCLOAK-19442,Support configuring SSL for Postgres in the Operator,Add support for specifying SSL mode in db-secret which will be passed down to the Keycloak image as an environmental variable.
,,
KEYCLOAK-19438,Invalid link in the docs for the OpenBanking Brasil,
,,
KEYCLOAK-19430,Revert deletion of RandomString,"As part of KEYCLOAK-19408 RandomString in core was deleted, but as it may be used by some it should be reverted and marked as deprecated instead."
,,
KEYCLOAK-19427,Upgrade to Quarkus 2.3.0.Final,
,,
KEYCLOAK-19426,Provide a --auto-build CLI option to enable dynamic re-aug when starting the server,"As discussed, we should be more flexible and do not force re-augmentation even though you are changing build-time properties (e.g.: database) when starting the server (in production, not dev mode).

For that, we should enable users to use a {{--auto-build}} option that when used together with the {{start}} command is going to mimic the behavior introduced by KEYCLOAK- 19306 .

The idea here is to give users an option to sacrifice startup time (due to the additional step at startup to re-build the server) if they are OK with it.
"
,,
KEYCLOAK-19425,Allow comma-seperated lists as values for config CLI.,"Right now we're using a comma as a seperator for the Keycloak.X CLI arguments. Thus, it's not possible to e.g. run the following command:

_./kc.sh config --spi-client-jpa-searchable-attributes=bar,foo_

Because the CLI parser expects another argument (starting with --) after the comma between bar and foo. 

To allow comma-separated lists of values in the CLI (and make e.g. _ClientSearchTest_ work with quarkus), we need to change the separator from comma to another one which would not be used in values, so a commonly used pattern like %% or similar would be the way to go."
,,
KEYCLOAK-19424,"Rename the ""config"" command to ""build""","As discussed, we should rename the {{config}} command to {{build}} as this name represents better what is happening when running the command."
,,
KEYCLOAK-19420,[7.5.z] Simplify the RHSSO setup in an OpenShift Disconnected cluster,"Hi Team, 

We are using OpenShift v4 IdP in Keycloak for enabling `Login with OpenShift` for our application. This requires the RHSSO container to communicate with the OpenShift OAuth server route.

This works like a magic without any additional configuration in a plain OCP cluster, However for a disconnected OpenShift cluster, we need to perform the below additional steps. 
[https://www.keycloak.org/docs/latest/server_installation/index.html#outgoing-http-requests]

This blocks the scope for automation in case of a Disconnected cluster."
,,
KEYCLOAK-19419,[7.5.z] Support OpenShift login using kubeadmin user.,"This is regarding keycloak and openshift integration. kubeadmin is a default user in a vanilla openshift cluster, although openshift recommends deleting the user post installation, many users would still have it in their stage, test or dev clusters where they carry out most of their POCs and tests. 

Keycloak does not support login with kubeadmin because the openshift-v4 Keycloak identity provider requires a non-null uid in order to be able to link the openshift user to the Keycloak user and incase of kubeadmin the user profile metadata doesn't contain such a uid. Is it a very nice feature to have for not only our product but I think also for other openshift projects consuming Keycloak."
,,
KEYCLOAK-19413,Allow to set login_hint on registration and forgot_credentials pages,"Hello,

In some use cases, it may be useful to allow login_hint to be passed in parameters of registration form and forgot_credentials form.

In my case, users have already typed their username on a referrer page, so I would like to avoid to ask them to re-type it."
,,
KEYCLOAK-19410,Compile issues in IntelliJ due to imports of sun packages,"DeploymentArchiveProcessorUtils:

* java: package sun.applet does not exist

DockerClientTest:

* java: package sun.security.provider does not exist"
,,
KEYCLOAK-19408,Better client secrets,https://github.com/keycloak/keycloak/discussions/8477
,,
KEYCLOAK-19403,Java 1.8 APIs used in modules marked for 1.7,"We have some maven modules that use Java 1.8 APIs, while the POM set target/source Java to 1.7. This is causing issues when building in IntelliJ with Java 11, but not from Maven. In IntelliJ the build fails with warnings like:
{code}
java: cannot find symbol
  symbol:   variable ACCESS_EXTERNAL_DTD
  location: class javax.xml.XMLConstants
{code}

authz/client:

* https://github.com/keycloak/keycloak/blob/69a146db7e91afdbc6935300b6975fa52a376eed/authz/client/pom.xml#L21
* https://github.com/keycloak/keycloak/blob/69a146db7e91afdbc6935300b6975fa52a376eed/authz/client/src/main/java/org/keycloak/authorization/client/AuthzClient.java#L72

adapters/oidc/fuse7/camel-undertow:

* https://github.com/keycloak/keycloak/blob/master/adapters/oidc/fuse7/camel-undertow/pom.xml#L34
* https://github.com/keycloak/keycloak/blob/69a146db7e91afdbc6935300b6975fa52a376eed/adapters/oidc/fuse7/camel-undertow/src/main/java/org/keycloak/adapters/camel/undertow/UndertowKeycloakConsumer.java#L171

saml-core:

* https://github.com/keycloak/keycloak/blob/69a146db7e91afdbc6935300b6975fa52a376eed/saml-core/pom.xml#L34
* https://github.com/keycloak/keycloak/blob/69a146db7e91afdbc6935300b6975fa52a376eed/saml-core/src/main/java/org/keycloak/saml/common/util/TransformerUtil.java#L119

saml-core is a bit strange as XMLConstants.ACCESS_EXTERNAL_DTD should be available since 1.7, but still causes the issue in IntelliJ unless Java is set to 1.8 in pom.xml
"
,,
KEYCLOAK-19396,Unexpected log message when starting the server,"When starting the server, the following message is shown in logs:

{code}
LogManager error of type WRITE_FAILURE: The delayed handler's queue was overrun and log record(s) were lost. Did you forget to configure logging?
{code}

The cause seems to be related with the {{QuarkusDelayedHandler}} exceeding the limit of the log entries in the queue. It is possible to avoid this error by setting the following system property when starting the server:

{code}
 -Dquarkus-log-max-startup-records=100000 
{code}

By default, the limit is set to 4000 if that property is not set.

This could be something we need from Quarkus so that it might be necessary to create an issue there prior to using the aforementioned property to fix the issue."
,,
KEYCLOAK-19388,AttributeConsumingService Bug in SAML SP metadata,"*Motivation:*

Keycloak version 15.0.0 introduced the AttributeConsumingService element in the SAML SP metadata. This is a useful feature since it allows mapping Attribute Importers into RequestedAttribute elements within the AttributeConsumingService. However the current implementation does not comply with the [SAML Metadata Specification|https://docs.oasis-open.org/security/saml/v2.0/saml-metadata-2.0-os.pdf]. Specifically:
* The AttributeConsumingService element is included in Keycloak’s SAML SP metadata by default, even if no RequestedAttribute elements are specified
* The ServiceName element is added only if the Attribute Consuming Service Name is set

According to the [SAML Metadata Specification|https://docs.oasis-open.org/security/saml/v2.0/saml-metadata-2.0-os.pdf], the AttributeConsumingService is optional (Zero or More) but when included it requires:
* one or more RequestedAttribute elements
* one or more ServiceName elements

As a result, the default Keycloak SP metadata are deemed as invalid by SAML IdP software (e.g. SimpleSAMLphp) that performs metadata schema validation. Effectively, users can not login with these SAML IdPs, unless the Keycloak configuration includes a Service Name and one or more Attribute Importers.

*Proposal: *

In order to be compliant with the [SAML Metadata Specification|https://docs.oasis-open.org/security/saml/v2.0/saml-metadata-2.0-os.pdf], we propose the following:
# The AttributeConsumingService is added to the SP metadata only when at least one Attribute Importer Mapper exists
# The Attribute Consuming Service Name has default value the realm display name when configured, otherwise equal to the realm name. When the AttributeConsumingService is not required for the SP metadata (see point 1) then the Attribute Consuming Service Name is ignored.
"
,,
KEYCLOAK-19380,Import action only run during init schema and requiring a full configured server,The import action is only running when the database is not initialized. It also requires a fully configured server (e.g.: TLS) to run.
,,
KEYCLOAK-19375,misleading Admin UI name for no-cookie-redirect Authenticator,"In the Admin UI, the NoCookieFlowRedirectAuthenticator is simply called Browser Redirect/Refresh which gives the impression that it is a generic redirector (which would be a cool Authenticator). My PR proposes to change this to something like ""Browser Redirect for Cookie free authentication"" (other suggestions appreciated)."
,,
KEYCLOAK-19374,Create implementations automatically from an interface: Map*EntityImpl,"Currently, Map*Entity implementation is maintained by a developer, so changes in the interface need to be manually propagated to the implementation. This increases maintenance cost and is also error-prone due to the need to update the {{isUpdated}} method.

Create a map-based implementation of the Map*Entity interface based on an interface that would be generated automatically using javac annotation processing."
,,
KEYCLOAK-19373,Update Quarkus to 2.2.3.Final,
,,
KEYCLOAK-19371,Keycloak UI showing weird labels on cent OS 7,"Hi Team,

I am facing some weird issue with Admin console UI on cent OS. This is with the latest version i.e. 15.0.2.

Please find steps to reduce and UI screenshot.

 

Thank you,

Ganesh"
,,
KEYCLOAK-19362,"Federated via AD, user not deleted within Keycloak when AD user is not a member of the AD group anymore","I setup a federation with a custom user ldap filter (&(objectCategory=Person)(sAMAccountName=*)(memberOf=cn=ADgroup,ou=TestGroups,ou=TestOrg,dc=domain,dc=local))

I was inspecting that when a AD user got removed from de AD group, the user will get deleted from keycloak. This is not the case. Is there a way to managed this?

 "
,,
KEYCLOAK-19344,Add CORS to Device Authorization Request,"Add CORS headers to the Device Authorization Request (OAuth 2.0 Device Authorization Grant) to make it available for non-confidential public webbrowser based clients, e.g. SPA like signage or kiosk webapps."
,,
KEYCLOAK-19313,Allow to configure the name format in Attribute Importer IdP Mapper,"Keycloak from version 15.0.0 supports adding the attributes defined as Attribute Importer IdP Mappers to a list of {{<RequestedAttribute>}} elements of the {{<AttributeConsumingService>}} element of the SAML SP metadata. However, the attribute name format of the RequestedAttribute currently defaults to {{urn:oasis:names:tc:SAML:2.0:attrname-format:basic}}. It must be possible to configure a different format such as {{urn:oasis:names:tc:SAML:2.0:attrname-format:uri}} which is required in many profiles (e.g. eIDAS SAML Attribute Profile - Version 1.2). In many SAML IdPs current produced SP metadata is not working.

The following formats should at least be supported:
 # {{urn:oasis:names:tc:SAML:2.0:attrname-format:uri}},
 # {{urn:oasis:names:tc:SAML:2.0:attrname-format:basic}} and
 # {{urn:oasis:names:tc:SAML:2.0:attrname-format:unspecified}}

Select field NameFormat will be added to Attribute Importer IdP Mapper and this value will be put in name format of the RequestedAttribute.{{}}"
,,
KEYCLOAK-19311,Improve test coverage for Quarkus distribution,"Currently, our test coverage is limited to:

* Running unit tests to check configuration
* Basic tests to make sure the distribution can start
* Health and Metrics test

We should have more integration tests, covering the different aspects/usages of CLI:

* Make sure the commands we support are working as expected
* Make sure re-augmentation works as expected for some critical scenarios such as setting up database
* Make sure providers can be deployed and properly configured
* Make sure we can test providers easily by leveraging CDI

All that should be based on the capabilities provided by Quarkus that make testing and developing an easy and nice experience.

Perhaps the baseground we can use in the future to also build functional tests on top of it."
,,
KEYCLOAK-19310,Support for more databases,"Currently, we support a small set of databases and we lack others such as Oracle, and MSSQL.

We should evaluate how we can support more databases based on what databases we are missing from Quarkus and if we can be more flexible and support any database driver.

It should involve investigating how far Quarkus is opinionated about the databases it supports."
,,
KEYCLOAK-19309,Auto-complete options and commands,"To achieve a better UX and make CLI easier, we should evaluate if it is possible to enable auto-complete."
,,
KEYCLOAK-19308,Improve readbility of help message,"The help message should be improved in order to present the available configuration options and commands easier to read and follow.

We are pretty much printing out all of them with some basic grouping. Perhaps we can:

* Have more groups for grouping correlated options and commands
* Provide some mechanism to better filter out items in help message (or using {{grep}} is enough?)
* Evaluate if the format we are using is the best or can be improved"
,,
KEYCLOAK-19307,Provide hints about how to use CLI options and commands,"In order to improve UX and make Dist.X self-documented, we should provide more hints about how to use our options and commands."
,,
KEYCLOAK-19306,Dynamically decide whether re-augmentation should happen,"One of the main UX issues we have is around the usage of the {{config}} command to re-augment the server based on any of the available static configuration options such as database.

In order to give a better UX, re-augmentation should be done dynamically based on a comparation of the options already set and those being passed when running the server.

The overall idea is to avoid forcing users to run the {{config}} command every time they want to change a static property (e.g.: database)."
,,
KEYCLOAK-19305,Document how to mark a provider as the default,"The Configuration Design Document is missing the information about how to mark a provider as a default. It only covers how to enable/disable providers.

We should document how to enable providers by running:

{code}
./kc.sh config --spi-x509cert-lookup-provider=nginx
{code}"
,,
KEYCLOAK-19300,Update Czech translation of email messages,"Add missing messages in the Czech translation and fix {{identityProviderLinkBodyHtml}}
{code:none}
themes/src/main/resources-community/theme/base/email/messages/messages_cs.properties{code}"
,,
KEYCLOAK-19297,Client offline sessions are stored with wrong client id after server restart when custom ClientStorageProvider is used,"When a custom {{ClientStorageProvider}} is used, client offline sessions from clients that are originate from an external ClientStorageProvider are [stored|https://github.com/keycloak/keycloak/blob/6886bd6651c608011457d259968ab3e906c58336/model/jpa/src/main/java/org/keycloak/models/jpa/session/JpaUserSessionPersisterProvider.java#L410] with a wrong client (object) id in the cached {{UserSession}} object during server (re)start.

The problem is that a [PersistentClientSessionEntity|https://github.com/keycloak/keycloak/blob/6886bd6651c608011457d259968ab3e906c58336/model/jpa/src/main/java/org/keycloak/models/jpa/session/PersistentClientSessionEntity.java#L50] for an external client always set [the constant value |https://github.com/keycloak/keycloak/blob/6886bd6651c608011457d259968ab3e906c58336/model/jpa/src/main/java/org/keycloak/models/jpa/session/JpaUserSessionPersisterProvider.java#L101] {{external}} as client id in the entity/database. The actual (external) client id is stored in the {{externalClientId}} field.

Therefore client offline sessions for external clients are always stored with the key {{external}} instead of the client (object) id in the {{UsersSession.authenticatedClientSessions}} map.

In consequence existing client sessions will not be found when for example a token refresh grant for one of these offline session is executed (after a server restart)."
,,
KEYCLOAK-19292,Opening Quarkus dev ui yields TemplateException due to missing metadata,"When I run Keycloak Quarkus via  \{{org.keycloak.quarkus._private.IDELauncher}} and open http://localhost:8080/q/dev/ a \{{io.quarkus.qute.TemplateException}} is thrown. 

{{io.quarkus.qute.TemplateException: Property ""description"" not found on the base object ""java.util.LinkedHashMap"" in expression \{it.description} in template tags/nonActionableExtension.html on line 21}}

This is caused by a missing description field in {{quarkus/runtime/src/main/resources/META-INF/quarkus-extension.yaml}}.

{{}}"
,,
KEYCLOAK-19289,"UserAdapter.setAttribute(String name, List<String> values) throws NPE if values is null","The method [UserAdapter.setAttribute(String name, List<String> values)|[https://github.com/keycloak/keycloak/blob/67e3df654f62a9fb2f85140524cfbde08b5635b3/model/jpa/src/main/java/org/keycloak/models/jpa/UserAdapter.java#L178]] throws a null pointer exception on `values.stream()` if `values` is null.

Altough `values` is checked if it's null when initializing `valuesToSet`, it is not checked on calling `values.stream()`.

Current workaround is to check if `values` is null before calling `setAttribute` and just call `removeAttribute` if it's null."
,,
KEYCLOAK-19288,Update Czech translation of login messages,"Add missing messages in the Czech translation 
{code:none}
themes/src/main/resources-community/theme/base/login/messages/messages_cs.properties{code}
https://github.com/keycloak/keycloak/pull/8427"
,,
KEYCLOAK-19286,Client offline sessions get lost during startup when custom ClientStorageProvider is used,"When a custom {{ClientStorageProvider}} is used, client offline sessions from clients that are originate from an external ClientStorageProvider are deleted during server (re)start.

The problem is that the [JpaUserSessionPersisterProvider|https://github.com/keycloak/keycloak/blob/6886bd6651c608011457d259968ab3e906c58336/model/jpa/src/main/java/org/keycloak/models/jpa/session/JpaUserSessionPersisterProvider.java#L437] incorrectly constructs the client {{StorageId}} with the client id instead of the expected provider id. This will lead to a client id that can never be [found|https://github.com/keycloak/keycloak/blob/6886bd6651c608011457d259968ab3e906c58336/model/jpa/src/main/java/org/keycloak/models/jpa/session/JpaUserSessionPersisterProvider.java#L439] by {{realm.getClientById()}}.

Which in turn leads to, that this client id will be [detected as removed|https://github.com/keycloak/keycloak/blob/6886bd6651c608011457d259968ab3e906c58336/model/jpa/src/main/java/org/keycloak/models/jpa/session/JpaUserSessionPersisterProvider.java#L406-L408] and all offline client sessions with this client id will be [deleted|https://github.com/keycloak/keycloak/blob/6886bd6651c608011457d259968ab3e906c58336/model/jpa/src/main/java/org/keycloak/models/jpa/session/JpaUserSessionPersisterProvider.java#L386-L397].

 

*Example*
{code:java}
select client_id,client_storage_provider,external_client_id from offline_client_session;

client_id |  client_storage_provider  |  external_client_id
---------+----------------------------+------------------------
external  | 573a40ab-ee75-4993        | 4e54913f-ad4e-4985
{code}
 

Resulting client Id:
 {{f:external:4e54913f-ad4e-4985}}

Expected client Id:
 {{f:573a40ab-ee75-4993:4e54913f-ad4e-4985}}"
,,
KEYCLOAK-19283,Idp: Advanced claim to group mapper,"The goal of this task is to implement a new identity provider mapper, that assigns a group to every user that is authenticating using the idp if certain claims are present in the JWT. It should be able to interpret claim values as regex (like the ""Advanced claim to role"" mapper)."
,,
KEYCLOAK-19274,Avoid loading files at startup when setting up named queries,"KEYCLOAK-18842 introduced to the startup a step to load properties files from the filesystem when setting up named queries.

We should avoid performing the steps at runtime but ahead of time."
,,
KEYCLOAK-19262,Login/Register UI: Background Image Not Covering Entire Page,"On the login and register pages, Keycloak background image stops before the bottom of the page, revealing another background image underneath. See screenshot

This is cause by a clash between Keycloak's login CSS, where the Keycloak background image is defined, and Patternfly's CSS, which also defines a different background image.

The simple solution is to set Patternfly's background image to none in Keycloak's login.css. I've created a PR to do this."
,,
KEYCLOAK-19251,Update Jekins report to allow pipelines as a parameter,
